Country,Time_Interval,Total_Papers,Diversity,ECI,ECI+,GDP,Nestedness_NODF,Modularity_Q
Belgium,2008-2012,55544.83841106664,0.8450174184027577,1.1511140000000002,1.06472,499269800000.0,0.28717402025853084,0.2308756681103245
Belgium,2013-2017,62678.387529838576,0.8064524854794665,0.928436,1.0623,499632200000.0,0.2709120283792509,0.22884322635683815
Belize,1973-1977,1.0,0.0714285714285714,,,102836412.096,0.27520515347294855,0.22901721117518653
Belize,1978-1982,9.333333333333332,0.11156607906197669,,,172866880.82,0.2891861082862083,0.22422940460866872
Belize,1983-1987,1.5,0.19511720984613845,,,226369951.35999998,0.26408051080252964,0.21552684594487367
Belize,1988-1992,5.033333333333333,0.09903903924976643,,,412854709.3,0.2608418555255483,0.2757009991570048
Belize,1993-1997,10.594444444444441,0.16913999098185128,,,611312100.0,0.24557021014643515,0.27107123843861186
Belize,1998-2002,8.958333333333327,0.20805875703492382,,,809434960.0,0.27282079664694203,0.2625174188578835
Belize,2003-2007,18.31783216783216,0.20495841666437353,,,1123730000.0,0.2596958358994229,0.23727412551345609
Belize,2008-2012,22.63880286380285,0.2667380694199092,,,1405910000.0,0.28717402025853084,0.2308756681103245
Belize,2013-2017,31.834362317389317,0.2903786829032856,,,1715540000.0,0.2709120283792509,0.22884322635683815
Benin,1973-1977,10.166666666666666,0.16135940368480595,,,636871789.3199999,0.27520515347294855,0.22901721117518653
Benin,1978-1982,11.0,0.3652311065501961,,,1215844914.16,0.2891861082862083,0.22422940460866872
Benin,1983-1987,29.76666666666665,0.3453746546621722,,,1218141800.8,0.26408051080252964,0.21552684594487367
Benin,1988-1992,59.2928571428571,0.35053480879123,,,1752851801.6,0.2608418555255483,0.2757009991570048
Benin,1993-1997,121.26666666666655,0.30988370193868064,,,2134335844.6,0.24557021014643515,0.27107123843861186
Benin,1998-2002,157.8488455988455,0.3315791494757063,,,3496007871.0,0.27282079664694203,0.2625174188578835
Benin,2003-2007,239.42987012986978,0.41367137129129716,,,6653521440.8,0.2596958358994229,0.23727412551345609
Benin,2008-2012,472.4547609052394,0.38842047360655596,,,10163577747.6,0.28717402025853084,0.2308756681103245
Benin,2013-2017,637.5599253091683,0.43925066901200227,,,12342651685.6,0.2709120283792509,0.22884322635683815
Bermuda,1973-1977,24.599999999999998,0.3596411720154552,,,352080000.0,0.27520515347294855,0.22901721117518653
Bermuda,1978-1982,32.08333333333332,0.2958490067572408,,,626180006.4,0.2891861082862083,0.22422940460866872
Bermuda,1983-1987,34.7095238095238,0.22844211460274788,,,1076920000.0,0.26408051080252964,0.21552684594487367
Bermuda,1988-1992,37.02619047619046,0.24101391319607768,,,1564760012.8,0.2608418555255483,0.2757009991570048
Bermuda,1993-1997,38.28333333333329,0.2477046637029231,,,2269297390.4,0.24557021014643515,0.27107123843861186
Bermuda,1998-2002,60.26013708513703,0.21305176563119332,,,3510622200.0,0.27282079664694203,0.2625174188578835
Bermuda,2003-2007,45.45717893217888,0.20263706926489622,,,4969742200.0,0.2596958358994229,0.23727412551345609
Bermuda,2008-2012,63.746059649414825,0.19554871873095403,,,5749805600.0,0.28717402025853084,0.2308756681103245
Bermuda,2013-2017,66.67513779537532,0.2535646227165971,,,5573710000.0,0.2709120283792509,0.22884322635683815
Bhutan,1978-1982,1.0,0.0714285714285714,,,143659756.29999998,0.2891861082862083,0.22422940460866872
Bhutan,1983-1987,1.0,0.0714285714285714,,,192325322.61999997,0.26408051080252964,0.21552684594487367
