Country,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Lesotho,0.30109666776769684,0.3284941621909804,0.4048445389689659,0.38126076449860213,0.500408253744613,0.300036939889077,0.341829817604283,0.5379768533982309,0.3865780670264034
Libya,0.48575514388092544,0.4470109830153295,0.6157766877824854,0.5182790174820062,0.604279578526535,0.3724563707437548,0.47761504874337424,0.5806496278828704,0.650093574120649
Liechtenstein,0.14620357152959784,0.09309015354521455,0.10108972125080962,0.2512935125003495,0.3334537918637507,0.36943271826719026,0.3470541251081034,0.43032519933369406,0.2688020299961732
Lithuania,0.0714285714285714,0.0714285714285714,,0.423332673357275,0.44464831402319416,0.5473113931939821,0.6505021898627654,0.5311413202544255,0.5854694518162282
Luxembourg,0.28222388108068464,0.2671967425716314,0.3809721508405044,0.4211521969626657,0.5185233173657973,0.6295759466529702,0.6969987330359275,0.730903080571919,0.660890876326513
Macau,,0.0714285714285714,0.11395485278352135,0.3229663022524544,0.2877256457972972,0.37708181844097965,0.3188385674200388,,0.12412304283620068
Macedonia,,,,0.10880940773118153,0.42782564961965186,0.4065045182816929,0.5898994370165918,0.7294261450986963,0.7259425599469803
Madagascar,0.2844104704081597,0.4358780763169162,0.3177205443740868,0.3628813508803278,0.41864888512715426,0.42491883369991135,0.4602408288834575,0.42117800121782933,0.3922918297887069
Malawi,0.25061201232353036,0.3686202521178321,0.3469753273050983,0.4054630308466295,0.41726350286416847,0.3701318232705617,0.36623671442208894,0.3016157648573454,0.29973893792259765
Malaysia,0.5684258251633212,0.6190614614053076,0.6661314738538311,0.6852992068571093,0.6344406653093375,0.6269277972277325,0.6499175501530994,0.6851120519748638,0.724993473718807
Maldives,0.07546569886464582,0.0714285714285714,0.0714285714285714,0.08764080956426434,0.11967453317336363,0.32230353352089214,0.21838855539986568,0.30681010473847226,0.2414628608058329
Mali,0.22828153442799337,0.24504895784688563,0.23717298266334275,0.34402426902587535,0.3118398082680832,0.2557602212814951,0.3154925503780308,0.4068529967818283,0.4613300029537186
Malta,0.40533440642400154,0.43229586894417094,0.32886859372859545,0.36262261647098026,0.41350620793966864,0.5073922511751128,0.5799609348948389,0.6281252541876996,0.6499128652201436
Marshall Islands,0.11927124436453662,0.07601254770533816,0.09100418320684411,0.14554246022617323,0.21302136650844328,0.18613592055164552,0.23442983003148743,0.2842144506155798,0.39537519108419394
Mauritania,0.13268394600793698,0.16718243912638175,0.23229863347999902,0.2825445852297722,0.3839714182904569,0.42794864449698067,0.27971252079547626,0.46545961191422125,0.5360995026193092
Mauritius,0.1647439373760975,0.18199111916997113,0.21221124904630229,0.13950799091519805,0.44616775219621696,0.40777366425751793,0.5166461072904962,0.5303377717508065,0.6240909195901834
Mexico,0.7202957420010823,0.7302827822523033,0.7268909594864547,0.7218207517502555,0.6902145985793873,0.70955616036949,0.699069128386661,0.7470211632139157,0.7287335544131509
Monaco,0.2820821393939552,0.21769699940333453,0.1779989950734293,0.17184585880038283,0.2247044407460722,0.2337200429524532,0.27850223665430174,0.3870801834150891,0.4429789529438354
Mongolia,0.23143135478957277,0.3695957211969009,0.36866341143095516,0.4516834079985449,0.4515146649438979,0.42459267213041996,0.5531899657538335,0.5048968466606408,0.516131463804922
Montenegro,,,,0.0714285714285714,0.0714285714285714,,0.39895288878679736,0.41744786497187136,0.4949781148955219
Morocco,0.43110154261949885,0.6523448450403846,0.5877776955652597,0.5121192992053127,0.4695576098022717,0.47292030372988936,0.4811861107068065,0.5232025963013153,0.5454736239423016
Mozambique,0.4548563975910944,0.31485774957989143,0.3038549940468638,0.3296556844280304,0.2791660582416612,0.3677117461215792,0.5013156573527326,0.4434215109146925,0.4951525027557372
Namibia,0.22790332182153938,0.27104231494294073,0.31799543885024373,0.2110823325822212,0.3425874328858699,0.31607246715021176,0.3116615987192629,0.49357256439375663,0.5576368224760067
Nauru,,,,0.0714285714285714,,,,0.0714285714285714,0.18327314093452496
