Country,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,12.58009784800177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,0.0,3.531927601450489,0.403003031403579,0.9916118413367186,0.7943184370889417,0.26312371405446855,0.3293219331937637,1.0701108758413669,0.23281756446653687,0.18180996834701688,1.3703228816482953,0.15458976654885556,0.0,3.184459589551315
Barbados,0.0,4.109311723513416,0.3668584787603637,0.15660886853760425,0.23958689701227287,1.7245775767958216,0.2616311510849588,2.6719123943265712,2.543239356728911,0.3972090920246957,0.4594083582351189,1.688698957638538,0.0,7.635999456248779
Belgium,0.6697713172058325,0.691199798631061,1.2409693446865933,1.1097735608835164,1.2515898196189377,0.7413915121593706,0.5886921990657344,0.1561884073804302,0.47223552644608763,0.7373208907082945,1.1266475604929833,0.27175387717172583,0.6149034626080127,0.8255689901348398
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.197356087997193
Benin,37.60094696227713,3.023225874548394,0.9253654305780538,0.3703414637139248,0.0,2.718801261779205,0.0,0.0,0.0,11.271621939258166,0.8691102383661102,0.0,0.0,0.0
Bermuda,0.0,5.497519137728924,0.9560855566609298,0.15305439896036188,0.5062683643744286,3.1836008451502207,0.0,4.3521156603614255,1.9884134266024143,0.0,0.3591851256120103,0.0,1.42666712452605,0.5527917904064471
Bolivia,0.0,1.408529676412618,0.9835162928446712,0.258814738143774,1.5267098397617989,3.5211170914850034,0.09608367150683284,1.4718840917464568,1.1208012833418517,0.29174895848113186,0.7086117028031379,0.0,0.8041639242009355,0.8309066780839295
Bosnia & Herzegovina,0.0,0.0,0.0,7.530276428849803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,4.125493079201243,0.34891869600779646,0.0,1.1085608163214136,3.037488589167243,0.41472850048357485,0.0,1.612581438277562,0.0,0.2912951897820479,1.0707464819312487,0.0,2.689848404307415
Brazil,0.16179360169010448,1.1648341753832212,1.1301154178538122,1.0652862235576224,1.0367462145970088,0.8577144658765637,0.47994732833328296,0.16312555870159695,0.5192912674316923,1.3472446675577419,1.3746846516021924,0.14491056473822866,1.0719595124266694,0.6829822402328048
Brunei,0.0,0.0,0.0,0.0,1.4945042116333132,0.0,5.032039139200708,0.0,9.782994058883876,0.0,0.0,0.0,0.0,0.0
