discipline,Time_Interval,Papers
Social Studies of Medicine,1983-1987,381.0
Social Work,1983-1987,2644.0
Sociology,1983-1987,8978.0
Solid State Physics,1983-1987,40276.0
Speech-Language Pathology and Audiology,1983-1987,2633.0
Surgery,1983-1987,44434.0
Tropical Medicine,1983-1987,6416.0
Urology,1983-1987,11960.0
Veterinary Medicine,1983-1987,37052.0
Virology,1983-1987,11536.0
Acoustics,1988-1992,8588.0
Addictive Diseases,1988-1992,5383.0
Aerospace Technology,1988-1992,7876.0
Agricult & Food Science,1988-1992,64213.0
Allergy,1988-1992,4310.0
Analytical Chemistry,1988-1992,42992.0
Anatomy & Morphology,1988-1992,4510.0
Anesthesiology,1988-1992,10284.0
Anthropology and Archaeology,1988-1992,7320.0
Applied Chemistry,1988-1992,9185.0
Applied Mathematics,1988-1992,19258.0
Applied Physics,1988-1992,98910.0
Area Studies,1988-1992,7121.0
Arthritis & Rheumatology,1988-1992,8696.0
Astronomy & Astrophysics,1988-1992,36954.0
Behavioral Science & Complementary Psychology,1988-1992,10095.0
Biochemistry & Molecular Biology,1988-1992,160722.0
Biomedical Engineering,1988-1992,14412.0
Biophysics,1988-1992,5447.0
Botany,1988-1992,73670.0
Cancer,1988-1992,52472.0
Cardiovascular System,1988-1992,46000.0
Cellular Biology Cytology & Histology,1988-1992,30005.0
Chemical Engineering,1988-1992,24545.0
Chemical Physics,1988-1992,40413.0
Civil Engineering,1988-1992,10686.0
Clinical Psychology,1988-1992,6851.0
Communication,1988-1992,2161.0
Computers,1988-1992,45585.0
Criminology,1988-1992,2394.0
Dairy & Animal Science,1988-1992,16828.0
Demography,1988-1992,2276.0
Dentistry,1988-1992,17941.0
Dermatology & Venerial Disease,1988-1992,19199.0
Developmental & Child Psychology,1988-1992,7268.0
Earth & planetary Science,1988-1992,38565.0
Ecology,1988-1992,18288.0
Economics,1988-1992,28641.0
Education,1988-1992,17058.0
Electrical Engineering & Electronics,1988-1992,60380.0
Embryology,1988-1992,4389.0
Endocrinology,1988-1992,33727.0
Entomology,1988-1992,21111.0
Environmental & Occupational Health,1988-1992,12540.0
Environmental Science,1988-1992,30519.0
Experimental Psychology,1988-1992,8737.0
Fertility,1988-1992,9052.0
Fine Arts & Architecture,1988-1992,6517.0
Fluids & Plasmas,1988-1992,9917.0
Gastroenterology,1988-1992,21518.0
General & Internal Medicine,1988-1992,119714.0
General Biology,1988-1992,6335.0
General Biomedical Research,1988-1992,71528.0
General Chemistry,1988-1992,92076.0
